trial,sample,selector,rank,deficiency,full_rank
0,0,uniform,256,0,1
0,0,stratified_beta_0,256,0,1
0,0,guided,256,0,1
0,1,uniform,256,0,1
0,1,stratified_beta_0,256,0,1
0,1,guided,256,0,1
1,0,uniform,256,0,1
1,0,stratified_beta_0,256,0,1
1,0,guided,256,0,1
1,1,uniform,256,0,1
1,1,stratified_beta_0,256,0,1
1,1,guided,256,0,1
2,0,uniform,256,0,1
2,0,stratified_beta_0,256,0,1
2,0,guided,256,0,1
2,1,uniform,256,0,1
2,1,stratified_beta_0,256,0,1
2,1,guided,256,0,1
3,0,uniform,256,0,1
3,0,stratified_beta_0,256,0,1
3,0,guided,256,0,1
3,1,uniform,256,0,1
3,1,stratified_beta_0,256,0,1
3,1,guided,256,0,1
4,0,uniform,256,0,1
4,0,stratified_beta_0,256,0,1
4,0,guided,256,0,1
4,1,uniform,256,0,1
4,1,stratified_beta_0,256,0,1
4,1,guided,256,0,1
5,0,uniform,256,0,1
5,0,stratified_beta_0,256,0,1
5,0,guided,256,0,1
5,1,uniform,256,0,1
5,1,stratified_beta_0,256,0,1
5,1,guided,256,0,1
6,0,uniform,256,0,1
6,0,stratified_beta_0,256,0,1
6,0,guided,256,0,1
6,1,uniform,256,0,1
6,1,stratified_beta_0,256,0,1
6,1,guided,256,0,1
7,0,uniform,256,0,1
7,0,stratified_beta_0,256,0,1
7,0,guided,256,0,1
7,1,uniform,256,0,1
7,1,stratified_beta_0,256,0,1
7,1,guided,256,0,1
8,0,uniform,256,0,1
8,0,stratified_beta_0,256,0,1
8,0,guided,256,0,1
8,1,uniform,256,0,1
8,1,stratified_beta_0,256,0,1
8,1,guided,256,0,1
9,0,uniform,256,0,1
9,0,stratified_beta_0,256,0,1
9,0,guided,256,0,1
9,1,uniform,256,0,1
9,1,stratified_beta_0,256,0,1
9,1,guided,256,0,1
10,0,uniform,256,0,1
10,0,stratified_beta_0,256,0,1
10,0,guided,256,0,1
10,1,uniform,256,0,1
10,1,stratified_beta_0,256,0,1
10,1,guided,256,0,1
11,0,uniform,256,0,1
11,0,stratified_beta_0,256,0,1
11,0,guided,256,0,1
11,1,uniform,256,0,1
11,1,stratified_beta_0,256,0,1
11,1,guided,256,0,1
12,0,uniform,256,0,1
12,0,stratified_beta_0,256,0,1
12,0,guided,256,0,1
12,1,uniform,256,0,1
12,1,stratified_beta_0,256,0,1
12,1,guided,256,0,1
13,0,uniform,256,0,1
13,0,stratified_beta_0,256,0,1
13,0,guided,256,0,1
13,1,uniform,256,0,1
13,1,stratified_beta_0,256,0,1
13,1,guided,256,0,1
14,0,uniform,256,0,1
14,0,stratified_beta_0,256,0,1
14,0,guided,256,0,1
14,1,uniform,256,0,1
14,1,stratified_beta_0,256,0,1
14,1,guided,256,0,1
15,0,uniform,256,0,1
15,0,stratified_beta_0,256,0,1
15,0,guided,256,0,1
15,1,uniform,256,0,1
15,1,stratified_beta_0,256,0,1
15,1,guided,256,0,1
16,0,uniform,256,0,1
16,0,stratified_beta_0,256,0,1
16,0,guided,256,0,1
16,1,uniform,256,0,1
16,1,stratified_beta_0,256,0,1
16,1,guided,256,0,1
17,0,uniform,256,0,1
17,0,stratified_beta_0,256,0,1
17,0,guided,256,0,1
17,1,uniform,256,0,1
17,1,stratified_beta_0,256,0,1
17,1,guided,256,0,1
18,0,uniform,256,0,1
18,0,stratified_beta_0,256,0,1
18,0,guided,256,0,1
18,1,uniform,256,0,1
18,1,stratified_beta_0,256,0,1
18,1,guided,256,0,1
19,0,uniform,256,0,1
19,0,stratified_beta_0,256,0,1
19,0,guided,256,0,1
19,1,uniform,256,0,1
19,1,stratified_beta_0,256,0,1
19,1,guided,256,0,1
20,0,uniform,256,0,1
20,0,stratified_beta_0,256,0,1
20,0,guided,256,0,1
20,1,uniform,256,0,1
20,1,stratified_beta_0,256,0,1
20,1,guided,256,0,1
21,0,uniform,256,0,1
21,0,stratified_beta_0,256,0,1
21,0,guided,256,0,1
21,1,uniform,256,0,1
21,1,stratified_beta_0,256,0,1
21,1,guided,256,0,1
22,0,uniform,256,0,1
22,0,stratified_beta_0,256,0,1
22,0,guided,256,0,1
22,1,uniform,256,0,1
22,1,stratified_beta_0,256,0,1
22,1,guided,256,0,1
23,0,uniform,256,0,1
23,0,stratified_beta_0,256,0,1
23,0,guided,256,0,1
23,1,uniform,256,0,1
23,1,stratified_beta_0,256,0,1
23,1,guided,256,0,1
24,0,uniform,256,0,1
24,0,stratified_beta_0,256,0,1
24,0,guided,256,0,1
24,1,uniform,256,0,1
24,1,stratified_beta_0,256,0,1
24,1,guided,256,0,1
25,0,uniform,256,0,1
25,0,stratified_beta_0,256,0,1
25,0,guided,256,0,1
25,1,uniform,256,0,1
25,1,stratified_beta_0,256,0,1
25,1,guided,256,0,1
26,0,uniform,256,0,1
26,0,stratified_beta_0,256,0,1
26,0,guided,256,0,1
26,1,uniform,256,0,1
26,1,stratified_beta_0,256,0,1
26,1,guided,256,0,1
27,0,uniform,256,0,1
27,0,stratified_beta_0,256,0,1
27,0,guided,256,0,1
27,1,uniform,256,0,1
27,1,stratified_beta_0,256,0,1
27,1,guided,256,0,1
28,0,uniform,256,0,1
28,0,stratified_beta_0,256,0,1
28,0,guided,256,0,1
28,1,uniform,256,0,1
28,1,stratified_beta_0,256,0,1
28,1,guided,256,0,1
29,0,uniform,256,0,1
29,0,stratified_beta_0,256,0,1
29,0,guided,256,0,1
29,1,uniform,256,0,1
29,1,stratified_beta_0,256,0,1
29,1,guided,256,0,1
30,0,uniform,256,0,1
30,0,stratified_beta_0,256,0,1
30,0,guided,256,0,1
30,1,uniform,256,0,1
30,1,stratified_beta_0,256,0,1
30,1,guided,256,0,1
31,0,uniform,256,0,1
31,0,stratified_beta_0,256,0,1
31,0,guided,256,0,1
31,1,uniform,256,0,1
31,1,stratified_beta_0,256,0,1
31,1,guided,256,0,1
32,0,uniform,256,0,1
32,0,stratified_beta_0,256,0,1
32,0,guided,256,0,1
32,1,uniform,256,0,1
32,1,stratified_beta_0,256,0,1
32,1,guided,256,0,1
33,0,uniform,256,0,1
33,0,stratified_beta_0,256,0,1
33,0,guided,256,0,1
33,1,uniform,256,0,1
33,1,stratified_beta_0,256,0,1
33,1,guided,256,0,1
34,0,uniform,256,0,1
34,0,stratified_beta_0,256,0,1
34,0,guided,256,0,1
34,1,uniform,256,0,1
34,1,stratified_beta_0,256,0,1
34,1,guided,256,0,1
35,0,uniform,256,0,1
35,0,stratified_beta_0,256,0,1
35,0,guided,256,0,1
35,1,uniform,256,0,1
35,1,stratified_beta_0,256,0,1
35,1,guided,256,0,1
36,0,uniform,256,0,1
36,0,stratified_beta_0,256,0,1
36,0,guided,256,0,1
36,1,uniform,256,0,1
36,1,stratified_beta_0,256,0,1
36,1,guided,256,0,1
37,0,uniform,256,0,1
37,0,stratified_beta_0,256,0,1
37,0,guided,256,0,1
37,1,uniform,256,0,1
37,1,stratified_beta_0,256,0,1
37,1,guided,256,0,1
38,0,uniform,256,0,1
38,0,stratified_beta_0,256,0,1
38,0,guided,256,0,1
38,1,uniform,256,0,1
38,1,stratified_beta_0,256,0,1
38,1,guided,256,0,1
39,0,uniform,256,0,1
39,0,stratified_beta_0,256,0,1
39,0,guided,256,0,1
39,1,uniform,256,0,1
39,1,stratified_beta_0,256,0,1
39,1,guided,256,0,1
40,0,uniform,256,0,1
40,0,stratified_beta_0,256,0,1
40,0,guided,256,0,1
40,1,uniform,256,0,1
40,1,stratified_beta_0,256,0,1
40,1,guided,256,0,1
41,0,uniform,256,0,1
41,0,stratified_beta_0,256,0,1
41,0,guided,256,0,1
41,1,uniform,256,0,1
41,1,stratified_beta_0,256,0,1
41,1,guided,256,0,1
42,0,uniform,256,0,1
42,0,stratified_beta_0,256,0,1
42,0,guided,256,0,1
42,1,uniform,256,0,1
42,1,stratified_beta_0,256,0,1
42,1,guided,256,0,1
43,0,uniform,256,0,1
43,0,stratified_beta_0,256,0,1
43,0,guided,256,0,1
43,1,uniform,256,0,1
43,1,stratified_beta_0,256,0,1
43,1,guided,256,0,1
44,0,uniform,256,0,1
44,0,stratified_beta_0,256,0,1
44,0,guided,256,0,1
44,1,uniform,256,0,1
44,1,stratified_beta_0,256,0,1
44,1,guided,256,0,1
45,0,uniform,256,0,1
45,0,stratified_beta_0,256,0,1
45,0,guided,256,0,1
45,1,uniform,256,0,1
45,1,stratified_beta_0,256,0,1
45,1,guided,256,0,1
46,0,uniform,256,0,1
46,0,stratified_beta_0,256,0,1
46,0,guided,256,0,1
46,1,uniform,256,0,1
46,1,stratified_beta_0,256,0,1
46,1,guided,256,0,1
47,0,uniform,256,0,1
47,0,stratified_beta_0,256,0,1
47,0,guided,256,0,1
47,1,uniform,256,0,1
47,1,stratified_beta_0,256,0,1
47,1,guided,256,0,1
48,0,uniform,256,0,1
48,0,stratified_beta_0,256,0,1
48,0,guided,256,0,1
48,1,uniform,256,0,1
48,1,stratified_beta_0,256,0,1
48,1,guided,256,0,1
49,0,uniform,256,0,1
49,0,stratified_beta_0,256,0,1
49,0,guided,256,0,1
49,1,uniform,256,0,1
49,1,stratified_beta_0,256,0,1
49,1,guided,256,0,1
50,0,uniform,256,0,1
50,0,stratified_beta_0,256,0,1
50,0,guided,256,0,1
50,1,uniform,256,0,1
50,1,stratified_beta_0,256,0,1
50,1,guided,256,0,1
51,0,uniform,256,0,1
51,0,stratified_beta_0,256,0,1
51,0,guided,256,0,1
51,1,uniform,256,0,1
51,1,stratified_beta_0,256,0,1
51,1,guided,256,0,1
52,0,uniform,256,0,1
52,0,stratified_beta_0,256,0,1
52,0,guided,256,0,1
52,1,uniform,256,0,1
52,1,stratified_beta_0,256,0,1
52,1,guided,256,0,1
53,0,uniform,256,0,1
53,0,stratified_beta_0,256,0,1
53,0,guided,256,0,1
53,1,uniform,256,0,1
53,1,stratified_beta_0,256,0,1
53,1,guided,256,0,1
54,0,uniform,256,0,1
54,0,stratified_beta_0,256,0,1
54,0,guided,256,0,1
54,1,uniform,256,0,1
54,1,stratified_beta_0,256,0,1
54,1,guided,256,0,1
55,0,uniform,256,0,1
55,0,stratified_beta_0,256,0,1
55,0,guided,256,0,1
55,1,uniform,256,0,1
55,1,stratified_beta_0,256,0,1
55,1,guided,256,0,1
56,0,uniform,256,0,1
56,0,stratified_beta_0,256,0,1
56,0,guided,256,0,1
56,1,uniform,256,0,1
56,1,stratified_beta_0,256,0,1
56,1,guided,256,0,1
57,0,uniform,256,0,1
57,0,stratified_beta_0,256,0,1
57,0,guided,256,0,1
57,1,uniform,256,0,1
57,1,stratified_beta_0,256,0,1
57,1,guided,256,0,1
58,0,uniform,256,0,1
58,0,stratified_beta_0,256,0,1
58,0,guided,256,0,1
58,1,uniform,256,0,1
58,1,stratified_beta_0,256,0,1
58,1,guided,256,0,1
59,0,uniform,256,0,1
59,0,stratified_beta_0,256,0,1
59,0,guided,256,0,1
59,1,uniform,256,0,1
59,1,stratified_beta_0,256,0,1
59,1,guided,256,0,1
60,0,uniform,256,0,1
60,0,stratified_beta_0,256,0,1
60,0,guided,256,0,1
60,1,uniform,256,0,1
60,1,stratified_beta_0,256,0,1
60,1,guided,256,0,1
61,0,uniform,256,0,1
61,0,stratified_beta_0,256,0,1
61,0,guided,256,0,1
61,1,uniform,256,0,1
61,1,stratified_beta_0,256,0,1
61,1,guided,256,0,1
62,0,uniform,256,0,1
62,0,stratified_beta_0,256,0,1
62,0,guided,256,0,1
62,1,uniform,256,0,1
62,1,stratified_beta_0,256,0,1
62,1,guided,256,0,1
63,0,uniform,256,0,1
63,0,stratified_beta_0,256,0,1
63,0,guided,256,0,1
63,1,uniform,256,0,1
63,1,stratified_beta_0,256,0,1
63,1,guided,256,0,1
64,0,uniform,256,0,1
64,0,stratified_beta_0,256,0,1
64,0,guided,256,0,1
64,1,uniform,256,0,1
64,1,stratified_beta_0,256,0,1
64,1,guided,256,0,1
65,0,uniform,256,0,1
65,0,stratified_beta_0,256,0,1
65,0,guided,256,0,1
65,1,uniform,256,0,1
65,1,stratified_beta_0,256,0,1
65,1,guided,256,0,1
66,0,uniform,256,0,1
66,0,stratified_beta_0,256,0,1
66,0,guided,256,0,1
66,1,uniform,256,0,1
66,1,stratified_beta_0,256,0,1
66,1,guided,256,0,1
67,0,uniform,256,0,1
67,0,stratified_beta_0,256,0,1
67,0,guided,256,0,1
67,1,uniform,256,0,1
67,1,stratified_beta_0,256,0,1
67,1,guided,256,0,1
68,0,uniform,256,0,1
68,0,stratified_beta_0,256,0,1
